PairID,Category,Model,Feasible,ISER_%,CNME_%,MDEF_%,TRR,ETTP_%,MinClearance_m
1,Residential->Residential,B0 (Unconstrained),1,3.81,0.0,20.02,32.26,0.0,-0.2
1,Residential->Residential,B1 (Hard Constrained),1,2.25,2.4,17.14,36.42,-11.84,-0.4
1,Residential->Residential,RoadFit-X (Strict),0,,,,,,
1,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
1,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,23.65,34.39,-7.59,0.2
1,Residential->Residential,RoadFit-X (Cognitive Brain),1,0.0,0.0,23.65,34.2,-7.59,0.2
2,Arterial->Residential,B0 (Unconstrained),1,20.2,1.72,31.11,49.91,0.0,-0.4
2,Arterial->Residential,B1 (Hard Constrained),1,20.21,1.72,28.04,49.95,-0.02,-0.4
2,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
2,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
2,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,40.33,49.89,0.45,0.3
2,Arterial->Residential,RoadFit-X (Cognitive Brain),1,0.0,0.0,40.33,49.84,0.45,0.3
3,Arterial->Residential,B0 (Unconstrained),1,0.71,0.0,46.59,22.13,0.0,-0.1
3,Arterial->Residential,B1 (Hard Constrained),1,2.63,0.0,38.13,27.08,-18.28,-0.1
3,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
3,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
3,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,31.02,24.24,-6.68,0.6
3,Arterial->Residential,RoadFit-X (Cognitive Brain),1,0.0,0.0,31.02,10.36,-6.68,0.6
4,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,50.51,30.03,0.0,0.5
4,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,50.47,30.13,0.1,0.5
4,Residential->Residential,RoadFit-X (Strict),0,,,,,,
4,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
4,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,41.74,29.62,1.5,0.5
4,Residential->Residential,RoadFit-X (Cognitive Brain),1,0.0,0.0,41.74,29.53,1.5,0.5
5,Residential->Residential,B0 (Unconstrained),1,1.51,0.0,16.54,39.28,0.0,-0.4
5,Residential->Residential,B1 (Hard Constrained),1,0.85,0.0,16.98,39.38,0.25,-0.4
5,Residential->Residential,RoadFit-X (Strict),0,,,,,,
5,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
5,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,22.7,41.3,-5.89,0.2
5,Residential->Residential,RoadFit-X (Cognitive Brain),1,0.0,0.0,22.7,41.34,-5.89,0.2
6,Residential->Residential,B0 (Unconstrained),1,0.84,0.0,18.58,31.32,0.0,-0.5
6,Residential->Residential,B1 (Hard Constrained),1,1.09,0.0,38.32,36.18,-13.42,-0.5
6,Residential->Residential,RoadFit-X (Strict),0,,,,,,
6,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
6,Residential->Residential,RoadFit-X (Exploratory),0,,,,,,
6,Residential->Residential,RoadFit-X (Cognitive Brain),0,,,,,,
7,Residential->Residential,B0 (Unconstrained),1,7.11,0.23,34.04,30.98,0.0,-0.4
7,Residential->Residential,B1 (Hard Constrained),1,7.41,0.24,23.98,30.27,2.36,-0.4
7,Residential->Residential,RoadFit-X (Strict),0,,,,,,
7,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
7,Residential->Residential,RoadFit-X (Exploratory),0,,,,,,
7,Residential->Residential,RoadFit-X (Cognitive Brain),0,,,,,,
