PairID,Category,Model,Feasible,ISER_%,CNME_%,MDEF_%,TRR,ETTP_%,MinClearance_m
1,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,20.09,0.0,4.1
1,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,22.19,-8.05,4.1
1,Residential->Residential,RoadFit-X (Strict),0,,,,,,
1,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
1,Residential->Residential,RoadFit-X (Exploratory),0,,,,,,
2,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,53.19,0.0,4.1
2,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,53.27,0.0,4.1
2,Residential->Residential,RoadFit-X (Strict),0,,,,,,
2,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
2,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,54.03,-1.39,4.1
3,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,96.67,0.0,4.1
3,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,74.3,-1.34,4.1
3,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
3,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
3,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,87.37,10.99,4.1
4,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,38.61,0.0,4.1
4,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,99.56,58.78,-18.55,4.1
4,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
4,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
4,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,42.09,-31.01,4.1
5,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,29.03,0.0,4.1
5,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,33.77,-14.13,4.1
5,Residential->Residential,RoadFit-X (Strict),0,,,,,,
5,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
5,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,31.32,-7.77,4.1
6,Arterial->Arterial,B0 (Unconstrained),1,0.0,0.0,100.0,71.16,0.0,4.1
6,Arterial->Arterial,B1 (Hard Constrained),1,0.0,0.0,100.0,24.28,0.0,4.1
6,Arterial->Arterial,RoadFit-X (Strict),0,,,,,,
6,Arterial->Arterial,RoadFit-X (Conservative),0,,,,,,
6,Arterial->Arterial,RoadFit-X (Exploratory),1,0.0,0.0,100.0,71.24,0.0,4.1
7,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,27.06,0.0,4.1
7,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,29.42,-7.98,4.1
7,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
7,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
7,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,29.04,-6.6,4.1
8,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,99.42,21.57,0.0,4.1
8,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,99.41,22.16,-1.58,4.1
8,Residential->Residential,RoadFit-X (Strict),0,,,,,,
8,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
8,Residential->Residential,RoadFit-X (Exploratory),0,,,,,,
9,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,98.55,52.97,0.0,4.1
9,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,98.55,52.87,-0.06,4.1
9,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
9,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
9,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,98.55,52.83,-0.06,4.1
10,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,28.16,0.0,4.1
10,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,29.44,-3.56,4.1
10,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
10,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
10,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,30.99,-8.96,4.1
11,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,39.45,0.0,4.1
11,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,38.64,0.8,4.1
11,Residential->Residential,RoadFit-X (Strict),0,,,,,,
11,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
11,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,48.02,-19.77,4.1
12,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,40.14,0.0,4.1
12,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,54.32,-26.37,4.1
12,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
12,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
12,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,37.98,5.22,4.1
13,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,22.11,0.0,4.1
13,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,25.01,-12.56,4.1
13,Residential->Residential,RoadFit-X (Strict),0,,,,,,
13,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
13,Residential->Residential,RoadFit-X (Exploratory),0,,,,,,
14,Arterial->Arterial,B0 (Unconstrained),1,0.0,0.0,100.0,15.7,0.0,4.1
14,Arterial->Arterial,B1 (Hard Constrained),1,0.0,0.0,94.47,14.93,6.78,4.1
14,Arterial->Arterial,RoadFit-X (Strict),0,,,,,,
14,Arterial->Arterial,RoadFit-X (Conservative),0,,,,,,
14,Arterial->Arterial,RoadFit-X (Exploratory),0,,,,,,
15,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,35.06,0.0,4.1
15,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,34.98,0.0,4.1
15,Residential->Residential,RoadFit-X (Strict),0,,,,,,
15,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
15,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,35.25,-0.56,4.1
16,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,60.59,0.0,4.1
16,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,21.47,0.0,4.1
16,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
16,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
16,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,41.0,0.0,4.1
17,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,22.84,0.0,4.1
17,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,21.86,6.34,4.1
17,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
17,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
17,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,30.28,-24.33,4.1
18,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,34.14,0.0,4.1
18,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,31.53,-13.15,4.1
18,Residential->Residential,RoadFit-X (Strict),0,,,,,,
18,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
18,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,34.49,-1.54,4.1
19,Arterial->Arterial,B0 (Unconstrained),1,0.0,0.0,100.0,64.34,0.0,4.1
19,Arterial->Arterial,B1 (Hard Constrained),1,0.0,0.0,100.0,64.58,0.0,4.1
19,Arterial->Arterial,RoadFit-X (Strict),0,,,,,,
19,Arterial->Arterial,RoadFit-X (Conservative),0,,,,,,
19,Arterial->Arterial,RoadFit-X (Exploratory),1,0.0,0.0,100.0,65.06,-1.14,4.1
20,Arterial->Arterial,B0 (Unconstrained),1,0.0,0.0,100.0,48.1,0.0,4.1
20,Arterial->Arterial,B1 (Hard Constrained),1,0.0,0.0,100.0,47.56,0.97,4.1
20,Arterial->Arterial,RoadFit-X (Strict),0,,,,,,
20,Arterial->Arterial,RoadFit-X (Conservative),0,,,,,,
20,Arterial->Arterial,RoadFit-X (Exploratory),1,0.0,0.0,100.0,59.2,-19.77,4.1
21,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,20.44,0.0,4.1
21,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,22.86,-9.88,4.1
21,Residential->Residential,RoadFit-X (Strict),0,,,,,,
21,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
21,Residential->Residential,RoadFit-X (Exploratory),0,,,,,,
22,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,44.2,0.0,4.1
22,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,51.67,-14.35,4.1
22,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
22,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
22,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,49.87,-11.24,4.1
23,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,70.83,15.33,0.0,4.1
23,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,71.32,69.24,1.73,4.1
23,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
23,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
23,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,69.3,59.81,-4.99,4.1
24,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,40.2,0.0,4.1
24,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,38.67,3.75,4.1
24,Residential->Residential,RoadFit-X (Strict),0,,,,,,
24,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
24,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,39.32,1.81,4.1
25,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,21.97,0.0,4.1
25,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,91.3,24.07,-8.01,4.1
25,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
25,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
25,Arterial->Residential,RoadFit-X (Exploratory),0,,,,,,
26,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,18.44,0.0,4.1
26,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,19.12,-1.89,4.1
26,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
26,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
26,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,27.05,-32.03,4.1
27,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,99.83,30.26,0.0,4.1
27,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,89.31,27.23,11.27,4.1
27,Residential->Residential,RoadFit-X (Strict),0,,,,,,
27,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
27,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,37.87,-19.11,4.1
28,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,30.69,0.0,4.1
28,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,31.64,-4.46,4.1
28,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
28,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
28,Arterial->Residential,RoadFit-X (Exploratory),0,,,,,,
29,Arterial->Arterial,B0 (Unconstrained),1,0.0,0.0,100.0,52.34,0.0,4.1
29,Arterial->Arterial,B1 (Hard Constrained),1,0.0,0.0,100.0,53.35,-2.09,4.1
29,Arterial->Arterial,RoadFit-X (Strict),0,,,,,,
29,Arterial->Arterial,RoadFit-X (Conservative),0,,,,,,
29,Arterial->Arterial,RoadFit-X (Exploratory),1,0.0,0.0,100.0,91.75,-6.12,4.1
30,Arterial->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,42.33,0.0,4.1
30,Arterial->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,37.74,13.07,4.1
30,Arterial->Residential,RoadFit-X (Strict),0,,,,,,
30,Arterial->Residential,RoadFit-X (Conservative),0,,,,,,
30,Arterial->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,47.82,-11.9,4.1
31,Residential->Residential,B0 (Unconstrained),1,0.0,0.0,100.0,45.68,0.0,4.1
31,Residential->Residential,B1 (Hard Constrained),1,0.0,0.0,100.0,46.6,-2.23,4.1
31,Residential->Residential,RoadFit-X (Strict),0,,,,,,
31,Residential->Residential,RoadFit-X (Conservative),0,,,,,,
31,Residential->Residential,RoadFit-X (Exploratory),1,0.0,0.0,100.0,40.52,12.21,4.1
